Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Manchester City,24,63.9,38.0,30525,2142,7108,16433,9082,1360,29002,485,807,60.1,518,33,22043,117299,67025,3044,809,314,378,418,26077,23578,90.4,1661
Chelsea,27,61.4,38.0,29564,2703,9251,14400,7810,1131,27953,368,643,57.2,393,33,19875,99591,56260,2265,679,246,444,422,24517,21646,88.3,1555
Liverpool,28,62.4,38.0,29822,2223,7936,14808,8910,1372,28088,421,703,59.9,457,28,20288,98263,53343,2281,695,230,482,449,24736,21527,87.0,1949
Manchester Utd,29,55.8,38.0,26392,2392,8046,12262,7891,1043,24709,424,733,57.8,460,35,17172,94013,53179,2196,676,180,422,468,21335,18495,86.7,1520
Arsenal,29,53.8,38.0,25217,2660,8496,11724,6662,979,23631,303,570,53.2,325,28,17270,91010,51942,2027,533,191,319,361,20487,17802,86.9,1350
Leeds United,23,57.6,38.0,24596,3071,9481,10576,6094,985,22781,321,559,57.4,351,35,15013,85599,48249,1648,509,157,504,410,19143,15996,83.6,1440
Brighton,27,51.3,38.0,23519,2703,8395,10204,6485,1020,21874,344,547,62.9,371,17,15362,84064,44546,1667,546,135,433,406,18583,15598,83.9,1265
Fulham,28,49.9,38.0,23627,2640,8285,10981,5883,822,21923,498,762,65.4,524,35,14934,80620,43245,1613,509,133,587,472,18034,15183,84.2,1169
Leicester City,27,54.6,38.0,25031,2426,8195,12125,6207,838,23368,350,629,55.6,379,29,15999,79828,42854,1679,505,135,467,429,19730,16726,84.8,1277
Wolves,27,49.3,38.0,22963,2287,7494,11331,5635,759,21244,496,779,63.7,537,29,14457,76002,42595,1794,544,183,453,394,17784,15234,85.7,1077
Everton,29,46.5,38.0,22718,2922,8747,10503,4941,700,21133,341,586,58.2,363,30,13795,76593,41361,1388,411,114,430,449,17418,14670,84.2,1081
Tottenham,24,51.7,38.0,24321,2708,8302,12150,5317,770,22574,408,673,60.6,435,34,15374,74651,39501,1550,468,135,369,467,19068,16142,84.7,1208
Southampton,29,52.2,38.0,23420,2440,7993,11611,5273,793,21630,367,631,58.2,395,15,13917,71626,38066,1511,482,130,467,454,17833,14758,82.8,1112
Aston Villa,24,48.1,38.0,20985,2696,7056,8919,6192,1060,19152,394,608,64.8,415,19,12344,65238,35018,1414,429,205,443,418,15702,12779,81.4,1279
West Ham,24,42.9,38.0,20537,2423,6846,9450,5500,828,18875,325,546,59.5,348,25,12116,68476,34759,1376,451,143,383,380,15380,12533,81.5,1014
Sheffield Utd,27,41.5,38.0,20178,2446,6666,8651,5985,703,18557,302,512,59.0,332,28,11343,58979,31782,1211,384,97,411,389,14805,12057,81.4,1024
Crystal Palace,24,40.1,38.0,19661,2331,7027,9078,4735,706,17884,373,637,58.6,401,21,11234,57886,29995,1211,394,134,425,513,14235,11391,80.0,984
Newcastle Utd,27,38.2,38.0,18589,2672,7557,7582,4511,637,16830,352,577,61.0,379,20,10688,53725,27978,1015,355,116,391,388,13307,10617,79.8,779
West Brom,30,37.6,38.0,18234,2692,6755,7837,4511,653,16495,294,534,55.1,319,21,9646,49732,25174,955,283,108,459,427,12638,9743,77.1,912
Burnley,25,41.7,38.0,19236,2320,6089,9006,5107,748,17531,249,420,59.3,269,18,10026,49692,23754,948,342,81,406,335,13976,10644,76.2,975
